PartName,SizeToAxisX,SizeToAxisY,SizeToAxisZ,CenterPointX,CenterPointY,CenterPointZ,MinPointX,MinPointY,MinPointZ,MaxPointX,MaxPointY,MaxPointZ
part5.STEP,464.67,900.57,65,217.34,450.29,17.5,-15,0,-15,449.67,900.57,50
hole_num,CenterX,CenterY,CenterZ,NormalX,NormalY,NormalZ,Radius,height,through,type,direction,
0,0.49,394.7,15,0,0,-1,4,10,FALSE,hole,top,
1,1.33,410.68,-15,0,0,1,2.75,30,TRUE,hole,top,
2,2.17,426.66,15,0,0,-1,4,10,FALSE,hole,top,
3,367.37,375.48,50,0,0,-1,4,10,FALSE,hole,top,
4,368.21,391.46,20,0,0,1,2.75,30,TRUE,hole,top,
5,369.04,407.43,50,0,0,-1,4,10,FALSE,hole,top,
6,393.24,567.39,50,0,0,-1,4,15,FALSE,hole,top,
7,427.12,844.37,50,0,0,-1,4,15,FALSE,hole,top,
8,429.35,860.22,20,0,0,1,2.75,30,TRUE,hole,top,
9,431.58,876.06,50,0,0,-1,4,15,FALSE,hole,top,
